,0
609,1424564
610,1508044
611,77738
612,200899
613,1087064
614,273763
615,543724
616,907944
617,1294244
618,138276
619,139588
620,124625
621,822304
622,223283
623,139071
624,232916
625,213770
626,1418644
627,538224
628,212188
629,961531
630,1447504
631,168133
632,175404
633,199252
634,96102
635,182532
636,1662844
637,231915
638,377444
639,188547
640,205203
641,1644224
642,125648
643,167575
644,215347
645,129587
646,1228324
647,177859
648,232084
649,260226
650,1438466
651,168744
652,1200824
653,188414
654,1051884
655,160092
656,90446
657,615986
658,138871
659,238430
660,179608
661,60151
662,1560748
663,166508
664,527824
665,1419264
666,161180
667,1816825
668,144283
669,238336
670,147092
671,135690
672,671404
673,246650
674,766005
675,237832
676,148411
677,32956
678,53148
679,65954
680,192005
681,1621324
682,1725826
683,231056
684,247504
685,134196
686,166357
687,202975
688,163539
689,187159
690,1730424
691,140881
692,155589
693,563664
694,37050
695,1078985
696,138112
697,30723
698,267384
699,169948
700,174180
701,385590
702,152823
703,140734
704,142213
705,34968
706,146122
707,134311
708,483784
709,478264
710,167595
711,6057
712,31567
713,1227325
714,167284
715,744664
716,144363
717,146372
718,252078
719,198619
720,1247787
721,1798224
722,544224
723,17309
724,1302587
725,62728
726,7952
727,63182
728,833804
729,1388184
730,159947
731,1369347
732,143159
733,1471724
734,145979
735,154138
736,1559564
737,1315184
738,1429387
739,408848
740,170416
741,1878265
742,692944
743,1528746
744,511104
745,1118384
746,132526
747,795204
748,120455
749,1440305
750,129180
751,173810
752,84852
753,91847
754,137699
755,146674
756,137831
757,192719
758,247080
759,824464
760,127994
761,780624
762,1460485
763,207194
764,681064
765,434970
766,1550125
767,138861
768,211646
769,1600026
770,127854
771,350885
772,634233
773,106062
774,1197564
775,198624
776,155884
777,129679
778,194643
779,691227
780,141988
781,648006
782,50493
783,57727
784,697128
785,1601344
786,1456853
787,85644
788,70226
789,1433927
790,1464704
791,167875
792,135723
793,1917404
794,159242
795,1173764
796,838944
797,143539
798,127801
799,498664
800,78374
801,1767584
802,74082
803,471484
804,469584
805,1286584
806,836464
807,244983
808,1369284
809,194118
810,1668024
811,258404
812,78511
813,88736
814,146329
815,1728184
816,196602
817,266414
818,482144
819,125824
820,1502465
821,172741
822,168656
823,213207
824,231884
825,428844
826,669344
827,501850
828,1443405
829,482487
830,507184
831,146790
832,130417
833,173831
834,101642
835,1423344
836,1396550
837,1593204
838,1525265
839,1453744
840,215885
841,140623
842,152622
843,132108
844,1527444
845,110329
846,154469
847,249728
848,274544
849,244777
850,611367
851,609664
852,407364
853,1658404
854,115876
855,179905
856,1032284
857,103654
858,101455
859,182625
860,190619
861,64740
862,1957404
863,241148
864,208464
865,169014
866,603604
867,1561364
868,1159464
869,183793
870,1342384
871,135220
872,94709
873,269594
874,211681
875,584524
876,521344
877,192878
878,77403
879,263966
880,148289
881,1897344
882,150571
883,442849
884,814105
885,504664
886,134946
887,195914
888,257966
889,124818
890,77990
891,1257544
892,703164
893,1450306
894,1522324
895,214887
896,491204
897,145547
898,57272
899,751092
900,194019
901,146365
902,131645
903,1790065
904,153512
905,115070
906,436104
907,192417
908,1018865
909,158357
910,224467
911,173666
912,84249
913,1851744
914,595824
915,47999
916,218109
917,70928
918,559285
919,1764584
920,52481
921,187290
922,70398
923,158597
924,671124
925,153145
926,163456
927,133974
928,150072
929,149615
930,145598
931,70479
932,517704
933,667464
934,187947
935,1282624
936,1092524
937,131262
938,171554
939,1477244
940,777504
941,390124
942,1632224
943,155161
944,679324
945,138754
946,658124
947,767185
948,1521204
949,147717
950,193081
951,143574
952,1015464
953,697924
954,111327
955,701644
956,206253
957,18515
958,339124
959,132895
960,29302
961,1389185
962,1396870
963,156334
964,260685
965,641364
966,132884
967,988344
968,164693
969,202147
970,1077064
971,159350
972,69447
973,63068
974,1629085
975,6636
976,67826
977,207870
978,1225524
979,232089
980,666229
981,169507
982,1689044
983,1169165
984,1067464
985,1027044
986,495265
987,189313
988,75358
989,1596324
990,211673
991,129435
992,473484
993,64075
994,1853264
995,148940
996,191475
997,218065
998,132038
999,150729
1000,808284
1001,205497
1002,137226
1003,1534324
1004,226050
1005,729484
1006,780864
1007,494625
1008,554964
1009,1574184
1010,81660
1011,56735
1012,126036
1013,142102
1014,102900
1015,733392
1016,185646
1017,1701044
1018,44041
1019,495564
1020,198062
1021,22731
1022,137212
1023,587064
1024,130262
1025,1002
1026,764805
1027,798944
1028,159539
1029,750926
1030,192956
1031,818204
1032,167178
1033,1776524
1034,1934126
1035,227229
1036,1041084
1037,134180
1038,131397
1039,246166
1040,250982
1041,724424
1042,183670
1043,217689
1044,7542
1045,145718
1046,724844
1047,165410
1048,1296264
1049,110367
1050,1401391
1051,241087
1052,116869
1053,212764
1054,1909844
1055,843944
1056,228607
